,key_value,label,ontology_mapping
226,"{'BioSampleModel': 'Generic', 'RNAi_depletion': 'ZCCHC8 and CBP80 siRNA treatment', 'cell_line': 'HeLa cells', 'cell_type': 'Cervical cancer cells', 'isolate': 'Total RNA', 'label': '02_ZCCHC8_CBP80'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'EFO:0000727', 'EFO:0000311', 'DOID:4', 'DOID:4362', 'EFO:0000408', 'EFO:0003150', 'DOID:162', 'UBERON:0000002', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0000322']"
227,"{'BioSampleModel': 'Generic', 'cell line': 'HEK293T-rex', 'cell line clone': '18', 'recql5 status': 'wild-type', 'source_name': 'HEK293T-rex cells, 18.WT.t40', 'treatment': 'Doxycycline 40 min'}",cell_line,"['CVCL:0063', 'EFO:0001184', 'EFO:0001082', 'UBERON:0007220', 'EFO:0000727', 'CVCL:B501', 'UBERON:0002120', 'CVCL:6D58', 'EFO:0000322', 'CL:0000010', 'UBERON:0000323']"
228,"{'BioSampleModel': 'Generic', 'barcode': 'ATACAG', 'cell type': 'Mesenchymal Stem Cells', 'day': 'd7', 'patient code name': 'Charlotte', 'source_name': 'MSC', 'treatment': 'Chondrogenesis'}",in_vitro_differentiated_cells,"['CL:0000134', 'EFO:0000727', 'DOID:0080043', 'EFO:0005571', 'CL:0000034', 'EFO:0000408', 'EFO:0005541', 'EFO:0004260']"
229,"{'developmental stage': 'adult', 'organism': 'Homo sapiens', 'organism part': 'skeletal muscle', 'sex': 'male'}",tissue,"['UBERON:0014895', 'UBERON:0003101', 'UBERON:0014892', 'UBERON:0001134', 'UBERON:0007023', 'UBERON:0001015', 'UBERON:0001630', 'EFO:0001272']"
230,"{'cell line': 'THP-1 (-PMA)', 'organism': 'mixed sample', 'source_name': 'cell culture infection model', 'strain': 'Salmonella Typhimurium SL1344'}",cell_line,"['DOID:8864', 'UBERON:0003101', 'EFO:0000322', 'EFO:0001355', 'EFO:0000221', 'UBERON:0000178', 'DOID:4', 'CVCL:0006', 'EFO:0000408', 'CL:0000576', 'EFO:0001253', 'CL:0000010']"
231,"{'cell type': 'HeLa cells', 'source_name': 'HeLa cells', 'treatment': 'vehicle'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'EFO:0000727', 'DOID:4', 'EFO:0000408', 'EFO:0003150', 'UBERON:0000002', 'CL:0000010']"
232,"{'source_name': 'TRUSS-guided prostatic biopsy of clinically advanced/metastatic prostate cancer tissue', 'time point': 'Post-Treatment', 'tissue': 'Prostate Tumour'}",tissue,"['EFO:0000616', 'EFO:0000727', 'EFO:0000196', 'EFO:0000408', 'UBERON:0002367', 'DOID:14566']"
233,"{'gender': 'Female', 'source_name': 'Female FSHD1 biopsy F8', 'tissue': 'FSHD1 Muscle biopsy'}",tissue,"['UBERON:0001630', 'UBERON:0003100', 'UBERON:0001015', 'UBERON:0005090']"
234,"{'cell type': 'peripheral blood mononuclear cells', 'diagnosis': 'healthy', 'gender': 'female', 'source_name': 'Healthy twin', 'tissue': 'blood'}",primary_cells,"['CL:0000738', 'CL:0000842', 'CL:2000001', 'UBERON:0000178', 'UBERON:0003100', 'CL:0000081', 'CL:0000988']"
235,"{'cell line': 'PC9', 'cell type': 'human lung Adenocarcinoma', 'source_name': 'shCtrl', 'transfected with': 'lentivirus harboring shRNA of control (Arab1)'}",cell_line,"['EFO:0000684', 'EFO:0002847', 'EFO:0000228', 'EFO:0000571', 'DOID:299', 'EFO:0000311', 'EFO:0000313', 'EFO:0003818', 'EFO:0000726', 'EFO:0001071', 'DOID:3910', 'EFO:0000408', 'EFO:0006858', 'EFO:0003060', 'CVCL:B260', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0000322']"
236,"{'age at death': '97 years', 'source_name': '7_Frontal', 'subject id': '7', 'tissue': 'Post morten brain', 'tissue region': 'frontal cortex'}",tissue,"['UBERON:0000955', 'UBERON:0000209', 'EFO:0003534', 'UBERON:0001870', 'UBERON:0004866']"
237,"{'biospecimen repository': 'NINDS Parkinson Cerebrospinal Fluid Biomarker', 'biospecimen repository sample id': 'PD_INVJG584UT4', 'body site': 'CSF', 'gap_accession': 'phs000901', 'gap_consent_code': '1', 'gap_consent_short_name': 'GRU', 'gap_sample_id': '1480066', 'gap_subject_id': '1178189', 'molecular data type': 'RNA Seq (NGS)', 'sex': 'female', 'study design': 'Case-Control', 'study name': 'University of Washington CSF biomarker study for Parkinson disease', 'subject is affected': 'No', 'submitted sample id': 'PD_INVJG584UT4', 'submitted subject id': 'PD_INVJG584UT4', 'submitter handle': 'NINDS Parkinson Cerebrospinal Fluid Biomarker'}",tissue,"['UBERON:0003100', 'UBERON:0001359']"
238,"{'cell type': 'acute myeloid leukemia', 'source_name': 'acute myeloid leukemia', 'tissue': 'Heparinised blood'}",primary_cells,"['DOID:9119', 'DOID:1240', 'EFO:0000616', 'EFO:0000311', 'EFO:0001642', 'EFO:0000222', 'EFO:0000408', 'EFO:0000565', 'EFO:0000540', 'UBERON:0000178', 'DOID:14566']"
239,"{'biomaterial_provider': 'Coriell Cell Repositories http', 'cell line': 'GM19238', 'hapmap': 'YRI', 'source_name': 'lymphoblastoid cell line'}",cell_line,"['EFO:0005292', 'EFO:0002788', 'EFO:0000322', 'CVCL:9633', 'EFO:0004900', 'CL:0000010']"
240,"{'development stage': 'peri-natal', 'sorted cell type': 'CD34+CD45RA-', 'source_name': 'cord blood cells', 'tissue': 'umbilical cord blood'}",primary_cells,"['CL:0000081', 'UBERON:0012168', 'CL:0000988', 'UBERON:0000178']"
241,"{'antibody': 'No', 'cell line': 'A549', 'cell type': 'Lung cancer cells', 'source_name': 'Lung cancer', 'type': 'RNA-seq'}",cell_line,"['EFO:0003156', 'UBERON:0003101', 'EFO:0000684', 'CVCL:0023', 'EFO:0000616', 'EFO:0000311', 'EFO:0000313', 'EFO:0003818', 'DOID:4', 'DOID:305', 'UBERON:0002048', 'DOID:162', 'EFO:0001086', 'DOID:1324', 'DOID:14566', 'EFO:0000322', 'CL:0000010', 'EFO:0000408']"
242,"{'cell line': 'EGFP-10a+ MDA-MB-231', 'protocol': 'supplemented with 1', 'source_name': 'mammary tumor xenograft'}",tissue,"['CVCL:0062', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0001209', 'EFO:0000228', 'EFO:0000322', 'DOID:299', 'EFO:0000311', 'DOID:1612', 'DOID:4', 'EFO:0003156', 'UBERON:0007023', 'EFO:0000408', 'EFO:0003942', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0001272']"
243,"{'age': '52', 'molecule subtype': 'microRNA', 'region': 'prefrontal cortex', 'sex': 'female', 'source_name': 'early stage_prefrontal cortex', 'tissue': 'brain'}",tissue,"['UBERON:0000955', 'EFO:0003534', 'UBERON:0003100', 'UBERON:0000451']"
244,"{'cell line': 'HeLa', 'knockdown chemistry': 'Gapmer', 'knockdown target': 'linc-FIRRE', 'source_name': 'HeLa Cells'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'DOID:4', 'EFO:0000408', 'EFO:0003150', 'UBERON:0000002', 'EFO:0000322', 'CL:0000010']"
245,"{'biopsy location': 'left leg', 'exercise status': 'untrained', 'gender': 'female', 'original sample id': '11U1', 'source_name': 'skeletal muscle', 'tissue': 'skeletal muscle'}",tissue,"['UBERON:0014895', 'UBERON:0003100', 'EFO:0000483', 'UBERON:0000978', 'UBERON:0014892', 'UBERON:0001134', 'UBERON:0001015', 'UBERON:0001630']"
246,"{'cell line': 'CUTLL1', 'cell type': 'human T cell leukemia cells', 'infected with': 'retroviruses expressing short haiprin against JMJD3', 'source_name': 'CUTLL1 cells_short hairpin against JMJD3'}",cell_line,"['EFO:0005592', 'EFO:0000311', 'EFO:0000616', 'EFO:0000565', 'CVCL:4966', 'EFO:0001642', 'EFO:0005803', 'CL:0000010', 'DOID:715', 'EFO:0000540', 'DOID:14566', 'EFO:0000322', 'EFO:0004289', 'EFO:0000408']"
247,"{'BioSampleModel': 'Human', 'age': 'Anonymous', 'biomaterial_provider': 'Anonymous', 'isolate': 'Anonymous', 'sex': 'not determined', 'tissue': 'plasma'}",tissue,['UBERON:0001969']
248,"{'cell line': 'IMR90', 'cell type': 'human primary lung fibroblasts', 'genotype/variation': 'expressing shRNA directed against macroH2A1', 'source_name': 'IMR90_macroH2A1 KD'}",cell_line,"['EFO:0001196', 'UBERON:0003100', 'CL:0000057', 'CL:0002553', 'EFO:0000322', 'EFO:0003156', 'CVCL:0347', 'UBERON:0002048', 'CL:0000010']"
249,"{'disease': 'Control', 'donor': 'N090710-F52', 'ercc_mix': '1', 'source_name': 'airway smooth muscle cells', 'tissue': 'human airway smooth muscle cells', 'treatment': 'Baseline'}",cell_line,"['UBERON:0004225', 'EFO:0000727']"
250,"{'disease state': 'healthy', 'source_name': 'blood, post-LPS', 'subject': 'individual A', 'time point': '2 hr post-LPS', 'tissue': 'blood', 'treatment': 'LPS'}",tissue,"['EFO:0000727', 'UBERON:0000178']"
251,"{'differentiation stage': 'late basophilic erythroblasts', 'source_name': 'erythroblasts'}",in_vitro_differentiated_cells,"['CL:0000988', 'CL:0000763', 'CL:0000764', 'CL:0000765', 'CL:0000549']"
252,"{'assigned cell type': 'NA', 'cell count': '1', 'ercc_dilution': '1000000', 'ercc_mix': 'mix2', 'qc pass': 'FALSE', 'source_name': 'pancreatic islet'}",primary_cells,['UBERON:0000006']
253,"{'cell type': 'LCLs B-cells', 'source_name': 'Olaparib 72hr.'}",cell_line,"['CL:0000236', 'CL:0000738', 'CL:0000988', 'CL:0000945', 'CL:0000542']"
254,"{'cell type': 'peripheral blood monocytes', 'disease state': 'healthy', 'donor id': 'A', 'source_name': 'human blood donor peripheral blood monocyte, IFNa', 'treatment': 'interferon-alpha'}",primary_cells,"['CL:0000738', 'CL:0000766', 'CL:0000842', 'EFO:0000727', 'UBERON:0000178', 'CL:0000576', 'CL:0000988']"
255,"{'cell line': 'HEK293', 'crosslinking': 'none', 'modified nucleotide': 'none', 'sirna transfection': 'anti-GFP', 'source_name': 'HEK293'}",cell_line,"['EFO:0001182', 'CVCL:0045', 'EFO:0000322', 'UBERON:0002113', 'EFO:0000726', 'CL:0000010']"
256,"{'cell line': 'MDA-MB-231', 'source_name': 'human breast & mouse normal lung tissue', 'strain': 'NOD scid gamma'}",cell_line,"['CVCL:0062', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0001209', 'EFO:0000228', 'EFO:0000408', 'UBERON:0000170', 'DOID:299', 'UBERON:0000310', 'DOID:4', 'EFO:0003156', 'UBERON:0007023', 'UBERON:0002048', 'EFO:0000322', 'CL:0000010', 'EFO:0001272']"
257,"{'analyte type': 'RNA', 'biospecimen repository': 'NCI_TARGET', 'biospecimen repository sample id': 'TARGET-40-PATAWV-01A-01R', 'body site': 'Primary Solid Tumor', 'gap_accession': 'phs000468', 'gap_consent_code': '1', 'gap_consent_short_name': 'PCR', 'gap_parent_phs': 'phs000218', 'gap_sample_id': '563746', 'gap_subject_id': '466518', 'histological type': 'OS', 'is tumor': 'Yes', 'study design': 'Tumor vs. Matched-Normal', 'study name': 'TARGET', 'submitted sample id': 'TARGET-40-PATAWV-01A-01R', 'submitted subject id': 'TARGET-40-PATAWV', 'submitter handle': 'NCI_TARGET'}",tissue,"['EFO:0000616', 'UBERON:0003101', 'DOID:14566', 'EFO:0000408']"
258,"{'antibody vender': 'BD-Pharmingen', 'cell marker': 'CD44+', 'cell type': 'epithelial cell', 'disease state': 'normal', 'source_name': 'reduction mammoplasty', 'tissue': 'breast'}",primary_cells,"['CL:0000066', 'UBERON:0000310']"
259,"{'cell line': 'LoVo', 'cell type': 'epithelial cell', 'disease': 'Uninfected', 'organism': 'Homo sapiens', 'sex': 'male', 'strain': ''}",cell_line,"['EFO:0000365', 'UBERON:0003101', 'DOID:0050861', 'EFO:0006639', 'CVCL:0399', 'EFO:0000322', 'UBERON:0001155', 'DOID:4', 'EFO:0000408', 'CL:0000066', 'CL:0000010']"
260,"{'age': '57', 'disease staging': 'Extensive atrophy', 'organism': 'Homo sapiens', 'sex': 'female'}",tissue,['UBERON:0003100']
261,"{'Sex': 'Male', 'cell line': 'HGDP01081', 'cell type': 'Lymphoblast cells', 'population': 'Mbuti Pygmy', 'source_name': 'Lymphoblast cell line'}",cell_line,"['CVCL:I194', 'UBERON:0003101', 'CL:0000988', 'EFO:0000322', 'CL:0000010']"
262,"{'age': 'adult (22-36yrs range)', 'cell subtype': 'Cauda', 'patient id': 'UC-06', 'patient status': 'undergoing inguinal radical orchiectomy for a clinical diagnosis of testicular cancer', 'sample type': 'Tissue', 'source_name': 'Cauda_tissue', 'tissue origin': 'Epididymis'}",tissue,"['EFO:0000616', 'DOID:2998', 'EFO:0000311', 'EFO:0007355', 'UBERON:0007023', 'EFO:0000408', 'EFO:0004281', 'DOID:162', 'DOID:14566', 'EFO:0001397', 'UBERON:0001301', 'EFO:0001272']"
263,"{'source_name': 'reprogramming intermediates of hiF-T cells', 'surface antigen enrichment': 'TRA-1-60+', 'treatment': 'DOX days 0-19'}",in_vitro_differentiated_cells,"['CL:0000084', 'CL:0000738', 'CL:0000988', 'EFO:0000727', 'CL:0000542']"
264,"{'cell line': 'Differentiated NT-ESC', 'cell type': 'Fibroblast', 'sequenced molecule': 'polyA RNA', 'source_name': 'Differentiated Nuclear Transfer Stem Cell'}",in_vitro_differentiated_cells,"['CL:0002322', 'EFO:0000322', 'CL:0000034', 'CL:0000057', 'CL:0000010']"
265,"{'cell line': 'HCT116', 'source_name': 'HCT116 Cell line', 'treatment': 'transfect siRNA without N'}",cell_line,"['EFO:0000726', 'UBERON:0003101', 'UBERON:0001155', 'EFO:0000322', 'EFO:0000727', 'EFO:0002824', 'EFO:0000313', 'DOID:4', 'UBERON:0007023', 'DOID:305', 'EFO:0000408', 'CVCL:0291', 'CL:0000010', 'EFO:0001272']"
266,"{'cell line': 'MRC-5', 'cell type': 'fibroblasts', 'population doublings': '42', 'source_name': 'total RNA extracted from MRC-5 fibroblasts', 'treatment': 'none'}",cell_line,"['EFO:0003156', 'UBERON:0003101', 'CL:0000057', 'EFO:0000322', 'DOID:4', 'EFO:0002835', 'UBERON:0002048', 'CVCL:0440', 'CL:0000010', 'EFO:0000408']"
267,"{'cell line': 'induced pluripotent stem cell line', 'gender': 'Female', 'passage': '11+5', 'source_name': 'induced pluripotent stem cell line'}",induced_pluripotent_stem_cells,"['CL:0002371', 'UBERON:0003100', 'EFO:0000322', 'CL:0002248', 'CL:0000034', 'CL:0000723', 'EFO:0004905', 'CL:0000010']"
268,"{'age': '47', 'race': 'Asian', 'source_name': 'pure HG-DCIS', 'tissue': 'breast ductal carcinoma in situ'}",tissue,"['EFO:0006858', 'EFO:0000305', 'DOID:0060074', 'EFO:0000616', 'EFO:0000311', 'EFO:0000313', 'EFO:0003152', 'DOID:3007', 'EFO:0000432', 'DOID:14566', 'EFO:0000408']"
269,"{'cell line': 'HeLa', 'source_name': 'HeLa', 'transfection': 'control'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'DOID:4', 'EFO:0000408', 'EFO:0003150', 'UBERON:0000002', 'EFO:0000322', 'CL:0000010']"
270,"{'genotype/variation': 'SLE', 'passages': 'passages 4-11', 'source_name': 'fibroblast', 'tissue': 'skin biopsies'}",cell_line,"['UBERON:0000014', 'EFO:0002690', 'EFO:0000962', 'CL:0000057', 'CL:0000010']"
271,"{'cell type': 'lymphoblastoid cell line', 'condition': 'knockdown', 'hapmap individual': 'GM19238', 'multiplexing index number': '10', 'multiplexing index sequence': 'TAGCTT', 'rin score': '9', 'source_name': 'lymphoblastoid cell line', 'splicing factor targeted': 'SRSF4'}",cell_line,['EFO:0005292']
272,"{'source_name': 'control_heart', 'subject status': 'control', 'tissue': 'heart'}",tissue,['UBERON:0000948']
273,"{'CellLine': 'Ishikawa', 'CellType': 'endometrial epithelial cell', 'Organism': 'Homo sapiens'}",cell_line,"['CVCL:2529', 'EFO:0005718', 'CL:0000066', 'CL:0000010', 'EFO:0000322']"
274,"{'cell line': 'Hela', 'source_name': 'Hela cells (cervical cancer cells)', 'transfection': 'control esiRNA'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'EFO:0000311', 'EFO:0000726', 'DOID:4', 'DOID:4362', 'EFO:0000408', 'EFO:0003150', 'DOID:162', 'UBERON:0000002', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0000322']"
275,"{'age': '0 DIV', 'cell line': 'HUES-7', 'source_name': 'neural crest like cells'}",in_vitro_differentiated_cells,"['CVCL:B205', 'UBERON:0002342', 'EFO:0000322', 'EFO:0000795', 'CL:0000010']"
276,"{'cancer or normal': 'normal', 'cell type': 'transitional', 'source_name': 'bladder, normal'}",tissue,"['UBERON:0018707', 'UBERON:0001255']"
277,"{'biomaterial_provider': 'http', 'cell line': 'GM18858', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'gender': 'Female', 'molecule subtype': 'cytoplasmic RNA', 'source_name': 'lymphoblastoid cell lines derived fromHapMap Yoruba individual'}",cell_line,"['EFO:0005292', 'UBERON:0003100', 'EFO:0000322', 'CVCL:P473', 'EFO:0004900', 'CL:0000010']"
278,"{'cell line': 'Jurkat T cell', 'ectopic expression': 'wild type MALT1', 'p/i stimulation': 'unstimulated', 'source_name': 'GC003243'}",cell_line,"['CL:0000738', 'EFO:0002796', 'CVCL:0065', 'CVCL:S103', 'CL:0000084', 'CVCL:T987', 'CL:0000542', 'CL:0000988', 'EFO:0000322', 'CL:0000010']"
279,"{'analyte type': 'RNA', 'biospecimen repository': 'NHGRI_BreastCancer_Xenotransplants', 'biospecimen repository sample id': 'WHIM13_xenograft.rna', 'gap_accession': 'phs000611', 'gap_consent_code': '1', 'gap_consent_short_name': 'DS-CA', 'gap_sample_id': '1059056', 'gap_subject_id': '809777', 'is tumor': 'Yes', 'molecular data type': 'RNA Seq (NGS)', 'study design': 'Xenograft', 'study disease': 'Breast Neoplasms', 'study name': 'Whole Genome Comparisons of Breast Cancers and their Xenotransplants', 'subject is affected': 'Yes', 'submitted sample id': 'WHIM13_xenograft.rna', 'submitted subject id': '720171', 'submitter handle': 'NHGRI_BreastCancer_Xenotransplants'}",tissue,"['EFO:0000616', 'DOID:14566', 'EFO:0000408']"
280,"{'age': '56', 'gender': 'M', 'patient': 'Disease_K1', 'patient id': 'P1', 'source_name': 'Disease_K1, Nonlesion, Antagonist', 'tissue': 'Nonlesion', 'tissue/treatment id': '8', 'treatment': 'Antagonist'}",tissue,"['DOID:4', 'UBERON:0003101', 'EFO:0000727', 'EFO:0000408']"
281,"{'cell type': 'primary CD34+ stem/progenitor cells', 'source_name': 'CD34-pos cell in erythroid differentiation', 'time point': 'day10'}",in_vitro_differentiated_cells,[]
282,"{'developmental stage': 'adult', 'individual': 'V157', 'organism': 'Homo sapiens', 'organism part': 'lymph node', 'specimen with known storage state': 'frozen specimen'}",tissue,"['UBERON:0000029', 'UBERON:0007023', 'EFO:0001272']"
283,"{'BioSampleModel': 'Human', 'age': 'na', 'biomaterial_provider': 'ATCC', 'cell_line': 'SW480', 'isolate': 'SW480', 'sex': 'male', 'tissue': 'colon'}",cell_line,"['EFO:0000365', 'UBERON:0003101', 'DOID:0050861', 'UBERON:0001155', 'EFO:0000322', 'DOID:4', 'EFO:0003156', 'EFO:0000408', 'CVCL:0546', 'EFO:0002083', 'CL:0000010']"
284,"{'source_name': 'Pre-Treated Psoriasis', 'subject status': 'psoriasis patient', 'time point': 'before adalimumab treatment', 'tissue type': 'lesional skin from psoriasis patient'}",tissue,"['EFO:0000727', 'EFO:0000701', 'DOID:8893', 'EFO:0000676', 'EFO:0000408', 'UBERON:0000014', 'EFO:0000962']"
285,"{'cell line': 'IMR90', 'source_name': 'Fibroblasts'}",cell_line,"['EFO:0001196', 'UBERON:0003100', 'CL:0000057', 'EFO:0000322', 'EFO:0003156', 'CVCL:0347', 'UBERON:0002048', 'CL:0000010']"
286,"{'cell phenotype': 'Lin-CD34+CD38+CD123-CD45RA-', 'phenotype': 'MDS', 'source_name': 'MDS 71', 'tissue': 'Bone marrow MEP'}",primary_cells,"['CL:0000050', 'EFO:0000198', 'EFO:0000408', 'UBERON:0002371', 'DOID:0060469']"
287,"{'celltype': 'lymphocytes', 'source_name': 'lymphocytes from PBMC'}",primary_cells,"['CL:0000738', 'CL:0000988', 'CL:0000542']"
288,"{'biomaterial_provider': 'Coriell; http', 'cell line': 'GM12892', 'sample type': 'polyA RNA', 'source_name': 'polyA RNA Rnase V1 at 37Â°C'}",cell_line,"['EFO:0000322', 'CVCL:9631', 'CL:0000010', 'EFO:0002786']"
289,"{'cell line': 'MDA-MB-231', 'cell type': 'Breast Adenocarcinoma', 'organism': 'Homo sapiens', 'specimen with known storage state': 'fresh specimen'}",cell_line,"['CVCL:0062', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0006858', 'EFO:0000228', 'EFO:0000304', 'EFO:0000305', 'EFO:0000322', 'DOID:299', 'EFO:0000311', 'EFO:0003156', 'EFO:0000313', 'EFO:0001209', 'DOID:4', 'DOID:3458', 'UBERON:0007023', 'EFO:0000408', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0001272']"
290,"{'analyte type': 'DNA', 'biospecimen repository': 'NCI_CervicalCancer', 'biospecimen repository sample id': 'SGCX-NOR-013_T', 'body site': 'Cervix Uteri', 'gap_accession': 'phs000600', 'gap_consent_code': '1', 'gap_consent_short_name': 'DS-CA-MDS', 'gap_sample_id': '926936', 'gap_subject_id': '716921', 'histological type': 'Neuroendocrine carcinoma', 'is tumor': 'Yes', 'molecular data type': 'Whole Exome (NGS)', 'sex': 'female', 'study design': 'Case-Control', 'study disease': 'Uterine Cervical Neoplasms', 'study name': 'Genomic Sequencing of Cervical Cancers', 'subject is affected': 'Yes', 'submitted sample id': 'SGCX-NOR-013_T', 'submitted subject id': 'SGCX-NOR-013', 'submitter handle': 'NCI_CervicalCancer'}",tissue,"['UBERON:0000995', 'DOID:1800', 'UBERON:0003100', 'EFO:0006858', 'EFO:0000616', 'EFO:0000311', 'EFO:0000313', 'DOID:305', 'EFO:0000408', 'UBERON:0000002', 'DOID:14566']"
291,"{'cell line': 'MCF-7', 'cell type': 'breast cancer cell line', 'source_name': 'MCF-7 wild type', 'treated with': 'vehicle (0.1% EtOH) as control for 24hrs'}",cell_line,"['DOID:4', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'EFO:0000322', 'CVCL:0031', 'DOID:299', 'UBERON:0001911', 'EFO:0000311', 'DOID:162', 'DOID:1612', 'EFO:0003156', 'EFO:0002885', 'UBERON:0007023', 'EFO:0000408', 'EFO:0001203', 'UBERON:0000310', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0001272']"
292,"{'diagnosis': 'healthy', 'source_name': 'Peripheral whole blood from healthy individual', 'tissue': 'Peripheral whole blood'}",tissue,['UBERON:0000178']
293,"{'sample group': '37C control', 'source_name': 'neuronal aggregates (day 50) derived from induced pluripotent stem cells', 'tissue': '3-dimensional neuronal aggregates that resemble a first trimester telencephalon'}",in_vitro_differentiated_cells,"['UBERON:0001893', 'CL:0000034', 'CL:0002248', 'CL:0002371', 'CL:0000723', 'EFO:0004905']"
294,"{'cell line': '293S', 'source_name': '293S cells', 'treatment': 'no treatment (control)'}",cell_line,"['CVCL:A784', 'EFO:0000322', 'EFO:0000727', 'CL:0000010']"
295,"{'cell line background': 'H9', 'cell type': 'human mesenchymal stem cell (hMSCs)', 'genotype/variation': 'KO; SIRT6-/-', 'source_name': 'late_passage_ko'}",in_vitro_differentiated_cells,"['CL:0000134', 'EFO:0000322', 'CVCL:9773', 'CL:0000034', 'CL:0000010', 'EFO:0003045']"
296,"{'ethnicity': 'Caucasian', 'gender': 'male', 'source_name': 'Whole blood', 'tissue': 'Whole blood'}",tissue,"['EFO:0003156', 'UBERON:0003101', 'UBERON:0000178']"
297,"{'cell line/type': 'HEK293 cells', 'dicer knockdown': 'No', 'source_name': ""3'READs cyto"", 'subcellular fraction': 'cytoplasmic'}",cell_line,"['CVCL:0045', 'EFO:0000322', 'UBERON:0002113', 'EFO:0001182', 'CL:0000010']"
298,"{'cell line': 'Sendai-Virus Derived', 'cell type': 'Human Pluripotent Stem Cell', 'source_name': 'induced Pluripotent Stem Cell'}",induced_pluripotent_stem_cells,"['CL:0002371', 'EFO:0000322', 'CL:0002248', 'CL:0000034', 'CL:0000723', 'EFO:0004905', 'CL:0000010']"
299,"{'BioSampleModel': 'Human', 'age': '24', 'biomaterial_provider': 'Michael Whitfield, Geisel School of Medicine at Dartmouth', 'isolate': 'n/a', 'sex': 'F', 'tissue': 'skin'}",tissue,"['UBERON:0000014', 'UBERON:0003100', 'EFO:0000962']"
300,"{'cell line': 'HeLa', 'cell type': 'human cervical cancer cell line', 'source_name': 'HeLa'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'EFO:0001639', 'DOID:299', 'EFO:0000311', 'DOID:4', 'DOID:4362', 'EFO:0000408', 'EFO:0003150', 'DOID:162', 'UBERON:0000002', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0000322']"
301,"{'source_name': 'Adipose', 'tissue': 'Adipose'}",tissue,['UBERON:0001013']
302,"{'cell line': '293', 'genotype': 'wildtype', 'source_name': 'Flp-Inâ„¢ T-RExâ„¢ 293 Cell Line'}",cell_line,"['EFO:0000322', 'CL:0000010']"
303,"{'sample comment': 'This sample is total RNA  in the UPF1-depleted Hela cells. The RNA purified by polyA-selection (polyA+) were processed for sequencing analysis.', 'sample_name': 'DRS001618'}",cell_line,['UBERON:0004529']
304,"{'experimental condition': 'Polio-Infected / M25 HeLa cells / 8 hpa', 'exptl time': '8 hr post-adsorption (hpa)', 'source_name': 'Polio-Infected / M25 HeLa cells / 8 hpa', 'strain': 'M25 HeLa / dominant-negative mutant RNase L'}",cell_line,[]
305,"{'cell line': 'HeLa', 'source_name': 'HeLa/TO-SmN doxycycline treated'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'DOID:4', 'EFO:0000408', 'EFO:0003150', 'UBERON:0000002', 'EFO:0000322', 'CL:0000010']"
306,"{'cell type': 'Induced pluripotent stem cells from human fibroblasts from patients with FA disease', 'genotype correction status': 'not corrected', 'source_name': 'FA-iPSC#5'}",induced_pluripotent_stem_cells,"['CL:0002371', 'CL:0000057', 'DOID:4', 'CL:0002248', 'CL:0000034', 'EFO:0000408', 'CL:0000723', 'EFO:0004905']"
307,"{'antibody used for sorting': 'CD31 (BD Biosciences 555445), CD43 (BD Biosciences 555475), CD41a (BD Biosciences 555467), CD73(BD Biosciences 550257), CD144(BD Biosciences 560411), CD235a (BD Biosciences 555570)', 'cell type': 'Angiogenic hematopoietic progeniotrs', 'source_name': 'H1 differentiated on OP9'}",in_vitro_differentiated_cells,[]
308,"{'assay': 'RNA-seq', 'cell type': 'primary human B cells', 'donor': 'Donor', 'source_name': 'B cells', 'time': '1 d'}",primary_cells,"['CL:0000236', 'CL:0000738', 'CL:0000988', 'CL:0000945', 'CL:0000542']"
